Rang,Athlète,Club,Total,CaP1,#1,Vélo,Vélo Cum.,#2,CaP2,U23,A.S.,Event,Race,Gap to 1st Total (s),Gap to 1st CaP1 (s),Gap to 1st Vélo (s),Gap to 1st Vélo Cum. (s),Gap to 1st CaP2 (s),Score Total,Score CaP1,Score Vélo,Score Vélo Cum.,Score CaP2,Gap to 1st CaP1 (s/km),Gap to 1st Vélo (s/km),Gap to 1st CaP2 (s/km),Gap to 1st Total (s/km),year,T1,T2
37,QUENTIN LIFFAUD,LE PUY EN VELAY TRIATHLON,0 days 00:53:27,0 days 00:13:14,,0 days 00:29:08,0 days 00:43:02,,0 days 00:09:43,,TEAM,paillencourt,D2H,61.0,42.0,6.0,5.0,52.0,9809.791082008107,9471.03274559194,9965.675057208238,9980.635166537568,9108.061749571183,8.4,0.3,20.8,2.22,2019,0 days 00:00:40,00:00:43
38,REMI CHAVENAUD,LES PIRANHAS,0 days 00:53:32,0 days 00:13:07,,0 days 00:29:17,0 days 00:43:02,,0 days 00:09:54,,TEAM,paillencourt,D2H,66.0,35.0,15.0,5.0,63.0,9794.520547945205,9555.273189326555,9914.62720546386,9980.635166537568,8939.39393939394,7.0,0.75,25.2,2.4,2019,0 days 00:00:38,00:00:39
39,CEDRIC LUDET,VERSAILLES TRIATHLON,0 days 00:53:44,0 days 00:13:18,,0 days 00:29:08,0 days 00:43:03,,0 days 00:09:58,U23,TEAM,paillencourt,D2H,78.0,46.0,6.0,6.0,67.0,9758.064516129032,9423.558897243107,9965.675057208238,9976.771196283391,8879.598662207358,9.2,0.3,26.8,2.84,2019,0 days 00:00:37,00:00:45
40,COME BONNET BADILLE,STADE FRANCAIS,0 days 00:53:47,0 days 00:13:19,,0 days 00:29:03,0 days 00:43:00,,0 days 00:10:07,U23,SUPP,paillencourt,D2H,81.0,47.0,1.0,3.0,76.0,9748.992872637124,9411.764705882353,9994.262765347103,9988.372093023256,8747.940691927513,9.4,0.05,30.4,2.95,2019,0 days 00:00:38,00:00:42
41,ALAN MONTEMBAULT,CESSON SEVIGNE TRIATHLON,0 days 00:53:53,0 days 00:13:13,,0 days 00:29:10,0 days 00:43:02,,0 days 00:10:05,U23,TEAM,paillencourt,D2H,87.0,41.0,8.0,5.0,74.0,9730.900092793072,9482.976040353089,9954.285714285714,9980.635166537568,8776.859504132231,8.2,0.4,29.6,3.16,2019,0 days 00:00:39,00:00:48
42,ANTHONY ROZALSKI,VITTEL TRIATHLON,0 days 00:54:39,0 days 00:12:34,,0 days 00:31:20,0 days 00:44:39,,0 days 00:09:20,,TEAM,paillencourt,D2H,133.0,2.0,138.0,102.0,29.0,9594.388533089357,9973.474801061007,9265.95744680851,9619.26091825308,9482.142857142857,0.4,6.9,11.6,4.84,2019,0 days 00:00:45,00:00:42
43,CYRIL CARE,LOMME NATATION TRIATHLON,0 days 00:54:57,0 days 00:13:24,,0 days 00:30:36,0 days 00:44:36,,0 days 00:09:51,,TEAM,paillencourt,D2H,151.0,52.0,94.0,99.0,60.0,9542.00788595693,9353.233830845771,9488.0174291939,9630.044843049327,8984.77157360406,10.4,4.7,24.0,5.49,2019,0 days 00:00:36,00:00:32
44,YANNICK CAILLOT,VITTEL TRIATHLON,0 days 00:54:59,0 days 00:13:18,,0 days 00:30:36,0 days 00:44:36,,0 days 00:09:42,,TEAM,paillencourt,D2H,153.0,46.0,94.0,99.0,51.0,9536.223097908458,9423.558897243107,9488.0174291939,9630.044843049327,9123.711340206186,9.2,4.7,20.4,5.56,2019,0 days 00:00:42,00:00:43
45,GAETAN MARQUILLY,VALLEE DE MONTMORENCY TRIATHLON,0 days 00:55:00,0 days 00:13:18,,0 days 00:30:39,0 days 00:44:35,,0 days 00:09:49,U23,TEAM,paillencourt,D2H,154.0,46.0,97.0,98.0,58.0,9533.333333333334,9423.558897243107,9472.539423599783,9633.644859813085,9015.280135823428,9.2,4.85,23.2,5.6,2019,0 days 00:00:38,00:00:37
46,ANDREAS TESSIER,SAINTES TRIATHLON,0 days 00:55:02,0 days 00:13:21,,0 days 00:30:37,0 days 00:44:38,,0 days 00:09:47,U23,TEAM,paillencourt,D2H,156.0,49.0,95.0,101.0,56.0,9527.55905511811,9388.264669163545,9482.852476864453,9622.85287528006,9045.996592844975,9.8,4.75,22.4,5.67,2019,0 days 00:00:40,00:00:39
47,BAPTISTE CHASTELIER,STADE FRANCAIS,0 days 00:55:07,0 days 00:13:19,,0 days 00:30:40,0 days 00:44:37,,0 days 00:09:52,U23,SUPP,paillencourt,D2H,161.0,47.0,98.0,100.0,61.0,9513.153915935893,9411.764705882353,9467.391304347826,9626.447515875981,8969.594594594595,9.4,4.9,24.4,5.85,2019,0 days 00:00:38,00:00:39
48,OSCAR HOBSON,SAINTES TRIATHLON,0 days 00:55:10,0 days 00:13:28,,0 days 00:30:29,0 days 00:44:34,,0 days 00:09:59,,TEAM,paillencourt,D2H,164.0,56.0,87.0,97.0,68.0,9504.53172205438,9306.930693069307,9524.330235101148,9637.247569184741,8864.774624373957,11.2,4.35,27.2,5.96,2019,0 days 00:00:37,00:00:39
49,GUILLAUME HENEMAN,GRAVELINES TRIATHLON,0 days 00:55:11,0 days 00:13:35,,0 days 00:30:21,0 days 00:44:34,,0 days 00:09:57,,TEAM,paillencourt,D2H,165.0,63.0,79.0,97.0,66.0,9501.661129568107,9226.993865030674,9566.17243272927,9637.247569184741,8894.472361809045,12.6,3.95,26.4,6.0,2019,0 days 00:00:38,00:00:41
50,PAUL COCQUET,GRAVELINES TRIATHLON,0 days 00:55:14,0 days 00:13:33,,0 days 00:30:20,0 days 00:44:36,,0 days 00:10:00,U23,TEAM,paillencourt,D2H,168.0,61.0,78.0,99.0,69.0,9493.059746529872,9249.69249692497,9571.428571428572,9630.044843049327,8850.0,12.2,3.9,27.6,6.11,2019,0 days 00:00:43,00:00:40
51,GWENAEL TALOUR,LAVAL TRIATHLON CLUB,0 days 00:55:18,0 days 00:13:30,,0 days 00:30:32,0 days 00:44:41,,0 days 00:10:02,,TEAM,paillencourt,D2H,172.0,58.0,90.0,104.0,71.0,9481.61543098252,9283.95061728395,9508.73362445415,9612.085042894443,8820.598006644517,11.6,4.5,28.4,6.25,2019,0 days 00:00:39,00:00:37
52,NICOLAS LE DIZES,VALLEE DE MONTMORENCY TRIATHLON,0 days 00:55:21,0 days 00:13:32,,0 days 00:30:27,0 days 00:44:36,,0 days 00:10:06,,TEAM,paillencourt,D2H,175.0,60.0,85.0,99.0,75.0,9473.050286058417,9261.083743842364,9534.756431308155,9630.044843049327,8762.376237623763,12.0,4.25,30.0,6.36,2019,0 days 00:00:37,00:00:42
53,ACHIL BOGARD,CESSON SEVIGNE TRIATHLON,0 days 00:55:25,0 days 00:13:34,,0 days 00:30:27,0 days 00:44:36,,0 days 00:10:09,U23,TEAM,paillencourt,D2H,179.0,62.0,85.0,99.0,78.0,9461.654135338345,9238.329238329237,9534.756431308155,9630.044843049327,8719.2118226601,12.4,4.25,31.2,6.51,2019,0 days 00:00:35,00:00:42
54,IVAN BAVARD,STADE FRANCAIS,0 days 00:55:27,0 days 00:13:34,,0 days 00:30:22,0 days 00:44:38,,0 days 00:10:10,,TEAM,paillencourt,D2H,181.0,62.0,80.0,101.0,79.0,9455.966336038473,9238.329238329237,9560.922063666301,9622.85287528006,8704.918032786885,12.4,4.0,31.6,6.58,2019,0 days 00:00:42,00:00:41
55,ESTEBAN GOMES DOS SANTOS,TRI VAL DE GRAY,0 days 00:55:35,0 days 00:13:37,,0 days 00:30:45,0 days 00:45:00,,0 days 00:10:01,U23,SUPP,paillencourt,D2H,189.0,65.0,103.0,123.0,70.0,9433.28335832084,9204.406364749082,9441.734417344172,9544.444444444443,8835.274542429284,13.0,5.15,28.0,6.87,2019,0 days 00:00:38,00:00:37
56,NICOLAS BOUHOURS,LAVAL TRIATHLON CLUB,0 days 00:55:37,0 days 00:13:34,,0 days 00:30:35,0 days 00:44:58,,0 days 00:09:58,,TEAM,paillencourt,D2H,191.0,62.0,93.0,121.0,67.0,9427.629607431825,9238.329238329237,9493.188010899183,9551.519644180875,8879.598662207358,12.4,4.65,26.8,6.95,2019,0 days 00:00:49,00:00:43
57,BENJAMIN FEQUANT,ASPTT ANGERS,0 days 00:55:39,0 days 00:13:34,,0 days 00:30:35,0 days 00:44:59,,0 days 00:09:50,,TEAM,paillencourt,D2H,193.0,62.0,93.0,122.0,59.0,9421.982629529799,9238.329238329237,9493.188010899183,9547.98073360504,9000.0,12.4,4.65,23.6,7.02,2019,0 days 00:00:50,00:00:53
58,WILLIAM LELOUP,LES PIRANHAS,0 days 00:55:40,0 days 00:13:39,,0 days 00:30:40,0 days 00:44:59,,0 days 00:10:04,U23,TEAM,paillencourt,D2H,194.0,67.0,98.0,122.0,73.0,9419.161676646707,9181.929181929181,9467.391304347826,9547.98073360504,8791.390728476821,13.4,4.9,29.2,7.05,2019,0 days 00:00:40,00:00:40
59,VALENTIN TALEC,LAVAL TRIATHLON CLUB,0 days 00:55:41,0 days 00:13:36,,0 days 00:30:35,0 days 00:45:00,,0 days 00:10:04,,TEAM,paillencourt,D2H,195.0,64.0,93.0,123.0,73.0,9416.342412451362,9215.686274509804,9493.188010899183,9544.444444444443,8791.390728476821,12.8,4.65,29.2,7.09,2019,0 days 00:00:49,00:00:39
60,JEAN MARIE MITH,VALLEE DE MONTMORENCY TRIATHLON,0 days 00:55:47,0 days 00:14:00,,0 days 00:30:20,0 days 00:45:00,,0 days 00:10:09,,TEAM,paillencourt,D2H,201.0,88.0,78.0,123.0,78.0,9399.462204959666,8952.380952380952,9571.428571428572,9544.444444444443,8719.2118226601,17.6,3.9,31.2,7.31,2019,0 days 00:00:40,00:00:40
61,GAUTHIER LUCAS,SAINTES TRIATHLON,0 days 00:55:48,0 days 00:13:37,,0 days 00:30:39,0 days 00:44:57,,0 days 00:10:17,U23,TEAM,paillencourt,D2H,202.0,65.0,97.0,120.0,86.0,9396.654719235365,9204.406364749082,9472.539423599783,9555.061179087876,8606.15883306321,13.0,4.85,34.4,7.35,2019,0 days 00:00:41,00:00:36
62,NINO HELUIN,LES PIRANHAS,0 days 00:55:49,0 days 00:13:39,,0 days 00:30:41,0 days 00:45:01,,0 days 00:10:11,,TEAM,paillencourt,D2H,203.0,67.0,99.0,124.0,80.0,9393.848910122424,9181.929181929181,9462.248777838131,9540.910773787487,8690.671031096563,13.4,4.95,32.0,7.38,2019,0 days 00:00:41,00:00:40
63,PIERRE LEGOUT,TRI VAL DE GRAY,0 days 00:55:51,0 days 00:14:08,,0 days 00:30:06,0 days 00:44:57,,0 days 00:10:13,U23,TEAM,paillencourt,D2H,205.0,96.0,64.0,120.0,82.0,9388.24231572665,8867.924528301886,9645.625692137319,9555.061179087876,8662.31647634584,19.2,3.2,32.8,7.45,2019,0 days 00:00:43,00:00:43
64,ARNAUD CLOU,LAVAL TRIATHLON CLUB,0 days 00:55:53,0 days 00:13:52,,0 days 00:30:23,0 days 00:44:58,,0 days 00:10:18,U23,TEAM,paillencourt,D2H,207.0,80.0,81.0,121.0,87.0,9382.642409782286,9038.461538461539,9555.677454744926,9551.519644180875,8592.233009708738,16.0,4.05,34.8,7.53,2019,0 days 00:00:43,00:00:38
65,BAPTISTE BODINO,VALLEE DE MONTMORENCY TRIATHLON,0 days 00:55:58,0 days 00:13:42,,0 days 00:30:30,0 days 00:45:00,,0 days 00:10:23,,SUPP,paillencourt,D2H,212.0,70.0,88.0,123.0,92.0,9368.671828469327,9148.418491484184,9519.125683060109,9544.444444444443,8523.274478330659,14.0,4.4,36.8,7.71,2019,0 days 00:00:48,00:00:37
66,ROBIN GUICHARD,VITTEL TRIATHLON,0 days 00:55:58,0 days 00:13:46,,0 days 00:30:38,0 days 00:45:01,,0 days 00:10:20,U23,TEAM,paillencourt,D2H,212.0,74.0,96.0,124.0,89.0,9368.671828469327,9104.11622276029,9477.693144722525,9540.910773787487,8564.516129032258,14.8,4.8,35.6,7.71,2019,0 days 00:00:37,00:00:39
67,REGIS MAHE,LAVAL TRIATHLON CLUB,0 days 00:56:08,0 days 00:13:49,,0 days 00:30:28,0 days 00:44:59,,0 days 00:10:31,,TEAM,paillencourt,D2H,222.0,77.0,86.0,122.0,100.0,9340.85510688836,9071.170084439083,9529.540481400438,9547.98073360504,8415.213946117274,15.4,4.3,40.0,8.07,2019,0 days 00:00:42,00:00:40
68,VINCENT FONTENEAU,ASPTT ANGERS,0 days 00:56:09,0 days 00:13:34,,0 days 00:30:35,0 days 00:44:58,,0 days 00:10:21,,TEAM,paillencourt,D2H,223.0,62.0,93.0,121.0,90.0,9338.082517067378,9238.329238329237,9493.188010899183,9551.519644180875,8550.72463768116,12.4,4.65,36.0,8.11,2019,0 days 00:00:49,00:00:52
69,LEO COCHIN,GRAVELINES TRIATHLON,0 days 00:56:14,0 days 00:14:08,,0 days 00:30:05,0 days 00:44:58,,0 days 00:10:39,U23,TEAM,paillencourt,D2H,228.0,96.0,63.0,121.0,108.0,9324.244220509781,8867.924528301886,9650.969529085873,9551.519644180875,8309.859154929578,19.2,3.15,43.2,8.29,2019,0 days 00:00:45,00:00:40
70,OLIVER HOBSON,SAINTES TRIATHLON,0 days 00:56:21,0 days 00:14:07,,0 days 00:30:07,0 days 00:44:55,,0 days 00:10:48,U23,TEAM,paillencourt,D2H,235.0,95.0,65.0,118.0,117.0,9304.939367051169,8878.394332939788,9640.287769784172,9562.152133580705,8194.444444444443,19.0,3.25,46.8,8.55,2019,0 days 00:00:41,00:00:39
71,FLAVIEN SMERALDI,SAINTES TRIATHLON,0 days 00:56:33,0 days 00:14:17,,0 days 00:29:59,0 days 00:44:56,,0 days 00:10:54,U23,TEAM,paillencourt,D2H,247.0,105.0,57.0,119.0,123.0,9272.030651340996,8774.795799299884,9683.157309616454,9558.605341246292,8119.266055045871,21.0,2.85,49.2,8.98,2019,0 days 00:00:40,00:00:45
72,HUGO FAURE,VERSAILLES TRIATHLON,0 days 00:56:33,0 days 00:14:09,,0 days 00:30:08,0 days 00:44:55,,0 days 00:10:59,U23,SUPP,paillencourt,D2H,247.0,97.0,66.0,118.0,128.0,9272.030651340996,8857.479387514722,9634.95575221239,9562.152133580705,8057.663125948407,19.4,3.3,51.2,8.98,2019,0 days 00:00:38,00:00:40
73,JORDAN GUEGANO,VALLEE DE MONTMORENCY TRIATHLON,0 days 00:56:34,0 days 00:14:08,,0 days 00:30:08,0 days 00:45:01,,0 days 00:10:50,,SUPP,paillencourt,D2H,248.0,96.0,66.0,124.0,119.0,9269.298762522098,8867.924528301886,9634.95575221239,9540.910773787487,8169.2307692307695,19.2,3.3,47.6,9.02,2019,0 days 00:00:45,00:00:46
74,LOUIS GUEGAN,VERSAILLES TRIATHLON,0 days 00:59:25,0 days 00:13:30,,0 days 00:30:27,0 days 00:44:37,,0 days 00:14:14,U23,SUPP,paillencourt,D2H,419.0,58.0,85.0,100.0,323.0,8824.68443197756,9283.95061728395,9534.756431308155,9626.447515875981,6217.798594847775,11.6,4.25,129.2,15.24,2019,0 days 00:00:40,00:00:36
75,VALENTIN RUBERT,LES PIRANHAS,0 days 00:59:36,0 days 00:14:21,,0 days 00:32:49,0 days 00:47:50,,0 days 00:11:01,,TEAM,paillencourt,D2H,430.0,109.0,227.0,293.0,130.0,8797.539149888144,8734.030197444832,8847.130523108177,8979.094076655052,8033.282904689863,21.8,11.35,52.0,15.64,2019,0 days 00:00:40,00:00:46
76,CHARLES LEFORT,VERSAILLES TRIATHLON,0 days 01:01:25,0 days 00:14:21,,0 days 00:34:12,0 days 00:49:12,,0 days 00:11:30,U23,SUPP,paillencourt,D2H,539.0,109.0,310.0,375.0,159.0,8537.313432835821,8734.030197444832,8489.278752436647,8729.674796747968,7695.652173913043,21.8,15.5,63.6,19.6,2019,0 days 00:00:39,00:00:45
77,JEREMY BREUIL,VITTEL TRIATHLON,0 days 01:01:37,0 days 00:14:43,,0 days 00:34:26,0 days 00:49:58,,0 days 00:10:57,U23,SUPP,paillencourt,D2H,551.0,131.0,324.0,421.0,126.0,8509.602380308357,8516.421291053228,8431.752178121975,8595.730486991328,8082.191780821918,26.2,16.2,50.4,20.04,2019,0 days 00:00:49,00:00:43
78,MATHIEU BOULON,LE PUY EN VELAY TRIATHLON,0 days 01:01:40,0 days 00:14:44,,0 days 00:34:40,0 days 00:50:10,,0 days 00:10:47,,TEAM,paillencourt,D2H,554.0,132.0,338.0,433.0,116.0,8502.702702702702,8506.787330316742,8375.0,8561.461794019933,8207.10973724884,26.4,16.9,46.4,20.15,2019,0 days 00:00:46,00:00:46
79,YANN ENJOLRAS,LE PUY EN VELAY TRIATHLON,0 days 01:02:32,0 days 00:15:05,,0 days 00:33:49,0 days 00:49:57,,0 days 00:11:45,U23,SUPP,paillencourt,D2H,606.0,153.0,287.0,420.0,174.0,8384.861407249466,8309.39226519337,8585.51010349926,8598.598598598599,7531.914893617021,30.6,14.35,69.6,22.04,2019,0 days 00:01:03,00:00:52
80,ANTONIN BREMAND,SAINTES TRIATHLON,0 days 01:03:07,0 days 00:14:48,,0 days 00:34:43,0 days 00:50:16,,0 days 00:12:08,U23,SUPP,paillencourt,D2H,641.0,136.0,341.0,439.0,197.0,8307.367309215739,8468.468468468469,8362.938070091215,8544.429708222811,7293.956043956044,27.2,17.05,78.8,23.31,2019,0 days 00:00:45,00:00:46
1,SANDRINA ILLES,STADE FRANCAIS,0 days 00:59:26,0 days 00:15:05,0 days 00:00:42,0 days 00:34:10,0 days 00:49:57,00:00:42,0 days 00:08:49,,,poinconnet,D1F,0.0,1.0,2.0,0.0,0.0,10000.0,9988.950276243093,9990.243902439024,10000.0,10000.0,0.2,0.1,0.0,0.0,2019,,
2,SANDRA LEVENEZ,ISSY TRIATHLON,0 days 00:59:31,0 days 00:15:04,0 days 00:00:40,0 days 00:34:13,0 days 00:49:57,00:00:41,0 days 00:08:56,,,poinconnet,D1F,5.0,0.0,5.0,0.0,7.0,9985.998319798377,10000.0,9975.64539698003,10000.0,9869.402985074626,0.0,0.25,2.8,0.18,2019,,
3,GARANCE BLAUT,STADE FRANCAIS,0 days 00:59:33,0 days 00:15:05,0 days 00:00:40,0 days 00:34:14,0 days 00:49:59,00:00:41,0 days 00:08:55,,,poinconnet,D1F,7.0,1.0,6.0,2.0,6.0,9980.408620207108,9988.950276243093,9970.78870496592,9993.331110370123,9887.85046728972,0.2,0.3,2.4,0.25,2019,,
4,SONIA BEJARANO,MONTLUCON TRIATHLON,0 days 00:59:47,0 days 00:15:05,0 days 00:00:40,0 days 00:34:13,0 days 00:49:58,00:00:45,0 days 00:09:06,,,poinconnet,D1F,21.0,1.0,5.0,1.0,17.0,9941.455255087816,9988.950276243093,9975.64539698003,9996.664442961974,9688.644688644688,0.2,0.25,6.8,0.76,2019,,
5,MARION LEGRAND,STADE FRANCAIS,0 days 01:00:04,0 days 00:15:06,0 days 00:00:40,0 days 00:34:12,0 days 00:49:58,00:00:40,0 days 00:09:28,,,poinconnet,D1F,38.0,2.0,4.0,1.0,39.0,9894.561598224196,9977.924944812363,9980.506822612086,9996.664442961974,9313.38028169014,0.4,0.2,15.6,1.38,2019,,
6,JULIE CHUBERRE DODE,ISSY TRIATHLON,0 days 01:01:28,0 days 00:15:39,0 days 00:00:53,0 days 00:35:05,0 days 00:51:37,00:00:41,0 days 00:09:13,,,poinconnet,D1F,122.0,35.0,57.0,100.0,24.0,9669.197396963124,9627.263045793397,9729.216152019002,9677.106877623506,9566.003616636528,7.0,2.85,9.6,4.44,2019,,
7,GUADALUPE JAZMIN AGUILAR CORONA,MONTLUCON TRIATHLON,0 days 01:01:39,0 days 00:15:19,0 days 00:00:42,0 days 00:35:34,0 days 00:51:35,00:00:47,0 days 00:09:18,,,poinconnet,D1F,133.0,15.0,86.0,98.0,29.0,9640.443363071101,9836.77910772579,9597.000937207124,9683.360258481422,9480.286738351255,3.0,4.3,11.6,4.84,2019,,
8,MAURINE RICOUR,LES TRITONS MELDOIS,0 days 01:01:48,0 days 00:15:43,0 days 00:01:03,0 days 00:34:27,0 days 00:51:13,00:00:46,0 days 00:09:51,,,poinconnet,D1F,142.0,39.0,19.0,76.0,62.0,9617.044228694715,9586.426299045599,9908.079342041607,9752.684672958021,8950.930626057529,7.8,0.95,24.8,5.16,2019,,
9,LUCIE LANG,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:01:53,0 days 00:15:51,0 days 00:00:45,0 days 00:34:57,0 days 00:51:33,00:00:40,0 days 00:09:42,U23,,poinconnet,D1F,147.0,47.0,49.0,96.0,53.0,9604.093724750875,9505.783385909568,9766.332856461611,9689.621726479147,9089.347079037801,9.4,2.45,21.2,5.35,2019,,
10,JONY HEERINK,LES TRITONS MELDOIS,0 days 01:02:02,0 days 00:16:19,0 days 00:00:41,0 days 00:34:08,0 days 00:51:08,00:00:44,0 days 00:10:11,,,poinconnet,D1F,156.0,75.0,0.0,71.0,82.0,9580.870499731327,9233.91215526047,10000.0,9768.57887874837,8657.937806873977,15.0,0.0,32.8,5.67,2019,,
11,LOUISE THEBAULT,ISSY TRIATHLON,0 days 01:02:07,0 days 00:15:51,0 days 00:00:44,0 days 00:35:01,0 days 00:51:36,00:00:44,0 days 00:09:48,,,poinconnet,D1F,161.0,47.0,53.0,99.0,59.0,9568.017171988195,9505.783385909568,9747.739171822941,9680.232558139536,8996.598639455782,9.4,2.65,23.6,5.85,2019,,
12,MARTA ROMANCE,MONTLUCON TRIATHLON,0 days 01:02:16,0 days 00:16:14,0 days 00:00:45,0 days 00:34:35,0 days 00:51:34,00:00:45,0 days 00:09:59,U23,,poinconnet,D1F,170.0,70.0,27.0,97.0,70.0,9544.967880085653,9281.314168377823,9869.879518072288,9686.489980607628,8831.385642737896,14.0,1.35,28.0,6.18,2019,,
13,LOTTE CLAES,CAMBRAI TRIATHLON,0 days 01:02:18,0 days 00:16:30,0 days 00:00:47,0 days 00:34:21,0 days 00:51:38,00:00:49,0 days 00:09:54,,,poinconnet,D1F,172.0,86.0,13.0,101.0,65.0,9539.860888175495,9131.31313131313,9936.923823386705,9673.983214977405,8905.723905723906,17.2,0.65,26.0,6.25,2019,,
14,KETSIA JACQUET,LES TRITONS MELDOIS,0 days 01:02:40,0 days 00:16:30,0 days 00:00:42,0 days 00:34:26,0 days 00:51:38,00:00:47,0 days 00:10:17,,,poinconnet,D1F,194.0,86.0,18.0,101.0,88.0,9484.04255319149,9131.31313131313,9912.875121006777,9673.983214977405,8573.743922204214,17.2,0.9,35.2,7.05,2019,,
15,KELLY DECALUWE,CAMBRAI TRIATHLON,0 days 01:03:02,0 days 00:16:30,0 days 00:00:47,0 days 00:34:21,0 days 00:51:38,00:00:55,0 days 00:10:31,,,poinconnet,D1F,216.0,86.0,13.0,101.0,102.0,9428.873611845584,9131.31313131313,9936.923823386705,9673.983214977405,8383.51822503962,17.2,0.65,40.8,7.85,2019,,
16,LIZA HAZUCHOVA,LE MANS TRIATHLON,0 days 01:03:26,0 days 00:15:34,0 days 00:00:48,0 days 00:36:27,0 days 00:52:49,00:00:48,0 days 00:09:51,,,poinconnet,D1F,240.0,30.0,139.0,172.0,62.0,9369.416710457172,9678.800856531048,9364.42615454961,9457.24203218681,8950.930626057529,6.0,6.95,24.8,8.73,2019,,
17,VALERIE GALLAND,ASPTT 36 SPORTS NATURE,0 days 01:03:40,0 days 00:16:00,0 days 00:00:57,0 days 00:35:55,0 days 00:52:52,00:00:52,0 days 00:09:58,,,poinconnet,D1F,254.0,56.0,107.0,175.0,69.0,9335.078534031414,9416.666666666666,9503.480278422274,9448.29760403531,8846.153846153846,11.2,5.35,27.6,9.24,2019,,
18,MAYA HEBRARD,LA GRANDE MOTTE TRIATHLON,0 days 01:04:02,0 days 00:16:29,0 days 00:00:46,0 days 00:36:23,0 days 00:53:38,00:00:41,0 days 00:09:45,U23,,poinconnet,D1F,276.0,85.0,135.0,221.0,56.0,9281.624154086414,9140.546006066734,9381.584974805313,9313.238036047234,9042.735042735043,17.0,6.75,22.4,10.04,2019,,
19,CAMILLA ZANINETTI,MONTLUCON TRIATHLON,0 days 01:04:07,0 days 00:16:31,0 days 00:00:47,0 days 00:36:20,0 days 00:53:38,00:00:45,0 days 00:09:45,U23,,poinconnet,D1F,281.0,87.0,132.0,221.0,56.0,9269.560696646739,9122.098890010091,9394.495412844037,9313.238036047234,9042.735042735043,17.4,6.6,22.4,10.22,2019,,
20,MARINE ECHEVIN,LE MANS TRIATHLON,0 days 01:04:08,0 days 00:17:03,0 days 00:00:40,0 days 00:35:54,0 days 00:53:37,00:00:41,0 days 00:09:53,U23,,poinconnet,D1F,282.0,119.0,106.0,220.0,64.0,9267.151767151767,8836.754643206255,9507.892293407614,9316.133043207958,8920.741989881955,23.8,5.3,25.6,10.25,2019,,
21,NADIA THEUIL,MONTLUCON TRIATHLON,0 days 01:04:10,0 days 00:17:03,0 days 00:00:43,0 days 00:35:48,0 days 00:53:34,00:00:42,0 days 00:09:56,,,poinconnet,D1F,284.0,119.0,100.0,217.0,67.0,9262.337662337663,8836.754643206255,9534.450651769088,9324.828873677661,8875.838926174496,23.8,5.0,26.8,10.33,2019,,
22,EMMA CLAISSE,CAMBRAI TRIATHLON,0 days 01:04:19,0 days 00:16:55,0 days 00:00:47,0 days 00:35:39,0 days 00:53:21,00:00:46,0 days 00:10:14,U23,,poinconnet,D1F,293.0,111.0,91.0,204.0,85.0,9240.735941953873,8906.4039408867,9574.567554932211,9362.69915651359,8615.635179153094,22.2,4.55,34.0,10.65,2019,,
23,MARINE IMBACH,TRI VAL DE GRAY,0 days 01:04:20,0 days 00:16:32,0 days 00:00:50,0 days 00:36:17,0 days 00:53:39,00:00:45,0 days 00:09:57,,,poinconnet,D1F,294.0,88.0,129.0,222.0,68.0,9238.341968911916,9112.90322580645,9407.441433164906,9310.344827586207,8860.971524288107,17.6,6.45,27.2,10.69,2019,,
24,PAULINE LE BRIZOUAL,TRI VAL DE GRAY,0 days 01:04:23,0 days 00:17:17,0 days 00:00:45,0 days 00:35:38,0 days 00:53:40,00:00:45,0 days 00:10:00,,,poinconnet,D1F,297.0,133.0,90.0,223.0,71.0,9231.167486409526,8717.45419479267,9579.045837231057,9307.453416149068,8816.666666666668,26.6,4.5,28.4,10.8,2019,,
25,SOPHIE CARON,LYS CALAIS TRIATHLON,0 days 01:04:29,0 days 00:17:01,0 days 00:00:51,0 days 00:35:44,0 days 00:53:36,00:00:50,0 days 00:10:05,,,poinconnet,D1F,303.0,117.0,96.0,219.0,76.0,9216.85189971569,8854.064642507345,9552.23880597015,9319.029850746268,8743.801652892562,23.4,4.8,30.4,11.02,2019,,
26,STEPHANIE LE BESQ,TRIATHLON CLUB MONTREUILLOIS,0 days 01:04:30,0 days 00:17:12,0 days 00:00:42,0 days 00:35:39,0 days 00:53:33,00:00:40,0 days 00:10:19,,,poinconnet,D1F,304.0,128.0,91.0,216.0,90.0,9214.470284237726,8759.68992248062,9574.567554932211,9327.731092436976,8546.042003231018,25.6,4.55,36.0,11.05,2019,,
27,ANAELLE PERI,ASPTT 36 SPORTS NATURE,0 days 01:04:34,0 days 00:16:19,0 days 00:00:43,0 days 00:36:23,0 days 00:53:25,00:00:48,0 days 00:10:22,,,poinconnet,D1F,308.0,75.0,135.0,208.0,93.0,9204.956117707796,9233.91215526047,9381.584974805313,9351.014040561622,8504.823151125402,15.0,6.75,37.2,11.2,2019,,
28,JULIETTE TITOTTO MERLOT,METZ TRIATHLON,0 days 01:04:35,0 days 00:17:01,0 days 00:00:44,0 days 00:35:54,0 days 00:53:39,00:00:43,0 days 00:10:16,U23,,poinconnet,D1F,309.0,117.0,106.0,222.0,87.0,9202.58064516129,8854.064642507345,9507.892293407614,9310.344827586207,8587.662337662337,23.4,5.3,34.8,11.24,2019,,
