Rang,Athlète,Club,Total,CaP1,#1,Vélo,Vélo Cum.,#2,CaP2,U23,A.S.,Event,Race,Gap to 1st Total (s),Gap to 1st CaP1 (s),Gap to 1st Vélo (s),Gap to 1st Vélo Cum. (s),Gap to 1st CaP2 (s),Score Total,Score CaP1,Score Vélo,Score Vélo Cum.,Score CaP2,Gap to 1st CaP1 (s/km),Gap to 1st Vélo (s/km),Gap to 1st CaP2 (s/km),Gap to 1st Total (s/km),year,T1,T2
40.,NAOMIE ANN EATON,LA GRANDE MOTTE TRIATHLON,0 days 01:05:44,0 days 00:18:54,00:00:44,0 days 00:35:59,0 days 00:55:36,00:00:28,0 days 00:09:41,,,parthenay,D1F,305.0,112.0,169.0,259.0,49.0,9226.673427991886,9012.345679012345,9217.23019916628,9223.621103117506,9156.626506024097,22.4,8.45,19.6,11.09,2023,,
41.,PAULINE LE BRIZOUAL,MONTLUCON TRIATHLON,0 days 01:05:51,0 days 00:19:05,00:00:42,0 days 00:35:50,0 days 00:55:37,00:00:26,0 days 00:09:49,,,parthenay,D1F,312.0,123.0,160.0,260.0,57.0,9210.326499620349,8925.764192139737,9255.813953488372,9220.857057237039,9032.258064516129,24.6,8.0,22.8,11.35,2023,,
42.,SOPHIE CARON,LYS CALAIS TRIATHLON,0 days 01:05:54,0 days 00:18:40,00:00:43,0 days 00:36:13,0 days 00:55:35,00:00:28,0 days 00:09:52,,,parthenay,D1F,315.0,98.0,183.0,258.0,60.0,9203.338391502275,9125.0,9157.846295444086,9226.386806596702,8986.486486486487,19.6,9.15,24.0,11.45,2023,,
43.,ZIA PILLE YARD,LYS CALAIS TRIATHLON,0 days 01:05:59,0 days 00:19:19,00:00:41,0 days 00:35:33,0 days 00:55:32,00:00:25,0 days 00:10:04,U23,,parthenay,D1F,320.0,137.0,143.0,255.0,72.0,9191.715079565547,8817.946505608283,9329.582747304266,9234.69387755102,8807.94701986755,27.4,7.15,28.8,11.64,2023,,
44.,STEPHANIE LE BESQ,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:06:05,0 days 00:19:06,00:00:42,0 days 00:35:46,0 days 00:55:33,00:00:26,0 days 00:10:06,,,parthenay,D1F,326.0,124.0,156.0,256.0,74.0,9177.80580075662,8917.975567190228,9273.066169617894,9231.923192319233,8778.877887788778,24.8,7.8,29.6,11.85,2023,,
45.,LAETITIA CHABOT,T.C.G. 79 PARTHENAY,0 days 01:06:13,0 days 00:18:53,00:00:42,0 days 00:36:05,0 days 00:55:39,00:00:30,0 days 00:10:05,,,parthenay,D1F,334.0,111.0,175.0,262.0,73.0,9159.325446765668,9020.300088261254,9191.685912240186,9215.333932315065,8793.388429752065,22.2,8.75,29.2,12.15,2023,,
46.,JULIE DUCARME,MONTLUCON TRIATHLON,0 days 01:06:17,0 days 00:19:07,00:00:42,0 days 00:35:44,0 days 00:55:32,00:00:26,0 days 00:10:19,,,parthenay,D1F,338.0,125.0,154.0,255.0,87.0,9150.113150616042,8910.20052310375,9281.716417910447,9234.69387755102,8594.507269789983,25.0,7.7,34.8,12.29,2023,,
47.,ALICE COLOIGNER,RENNES TRIATHLON,0 days 01:06:26,0 days 00:19:07,00:00:51,0 days 00:35:41,0 days 00:55:39,00:00:29,0 days 00:10:19,,,parthenay,D1F,347.0,125.0,151.0,262.0,87.0,9129.453085800302,8910.20052310375,9294.72209248015,9215.333932315065,8594.507269789983,25.0,7.55,34.8,12.62,2023,,
48.,JULIETTE GABANELLE,EVREUX A.C. TRIATHLON,0 days 01:06:29,0 days 00:18:59,00:00:44,0 days 00:35:49,0 days 00:55:31,00:00:32,0 days 00:10:27,,,parthenay,D1F,350.0,117.0,159.0,254.0,95.0,9122.587114565054,8972.78314310799,9260.120986505352,9237.46622635845,8484.848484848486,23.4,7.95,38.0,12.73,2023,,
49.,ALICE BEAUD,ASPTT STRASBOURG TRI,0 days 01:07:19,0 days 00:19:15,00:00:42,0 days 00:36:59,0 days 00:56:55,00:00:29,0 days 00:09:56,,,parthenay,D1F,400.0,133.0,229.0,338.0,64.0,9009.655855409756,8848.484848484848,8968.003605227581,9010.248901903367,8926.174496644297,26.6,11.45,25.6,14.55,2023,,
50.,ESTELLE GEFFROY,RENNES TRIATHLON,0 days 01:07:39,0 days 00:19:15,00:00:51,0 days 00:36:49,0 days 00:56:54,00:00:28,0 days 00:10:18,,,parthenay,D1F,420.0,133.0,219.0,337.0,86.0,8965.262379896525,8848.484848484848,9008.60117700317,9012.888107791447,8608.414239482201,26.6,10.95,34.4,15.27,2023,,
51.,ALICE TALEC,RENNES TRIATHLON,0 days 01:07:49,0 days 00:18:54,00:00:46,0 days 00:37:39,0 days 00:57:18,00:00:31,0 days 00:10:01,,,parthenay,D1F,430.0,112.0,269.0,361.0,69.0,8943.229294666995,9012.345679012345,8809.20761398849,8949.970913321698,8851.913477537437,22.4,13.45,27.6,15.64,2023,,
52.,LEA LERILLE,H.A.C. TRIATHLON,0 days 01:07:56,0 days 00:19:46,00:00:50,0 days 00:36:53,0 days 00:57:27,00:00:29,0 days 00:10:01,,,parthenay,D1F,437.0,164.0,223.0,370.0,69.0,8927.870461236507,8617.200674536256,8992.318120198826,8926.602843051929,8851.913477537437,32.8,11.15,27.6,15.89,2023,,
53.,EMILIE JAMME,EVREUX A.C. TRIATHLON,0 days 01:08:07,0 days 00:20:33,00:00:49,0 days 00:35:29,0 days 00:56:50,00:00:31,0 days 00:10:47,,,parthenay,D1F,448.0,211.0,139.0,333.0,115.0,8903.841448495228,8288.726682887267,9347.111319868483,9023.460410557185,8222.565687789798,42.2,6.95,46.0,16.29,2023,,
54.,JULIE VAN NIEUWENHOVE,EVREUX A.C. TRIATHLON,0 days 01:08:07,0 days 00:20:26,00:00:46,0 days 00:35:41,0 days 00:56:52,00:00:30,0 days 00:10:46,,,parthenay,D1F,448.0,204.0,151.0,335.0,114.0,8903.841448495228,8336.05220228385,9294.72209248015,9018.171160609612,8235.294117647058,40.8,7.55,45.6,16.29,2023,,
55.,CLAIRE BUARD,T.C.G. 79 PARTHENAY,0 days 01:08:16,0 days 00:19:41,00:00:47,0 days 00:37:01,0 days 00:57:28,00:00:33,0 days 00:10:16,,,parthenay,D1F,457.0,159.0,231.0,371.0,84.0,8884.27734375,8653.683319221,8959.927960378207,8924.013921113688,8636.363636363636,31.8,11.55,33.6,16.62,2023,,
56.,LAURIE MAISONNEUVE,MONTLUCON TRIATHLON,0 days 01:08:18,0 days 00:20:09,00:00:45,0 days 00:36:40,0 days 00:57:33,00:00:31,0 days 00:10:16,U23,,parthenay,D1F,459.0,187.0,210.0,376.0,84.0,8879.941434846267,8453.267162944581,9045.454545454546,8911.091804228206,8636.363636363636,37.4,10.5,33.6,16.69,2023,,
57.,BERTILLE JAMARD,MSA TRIATHLON,0 days 01:08:26,0 days 00:19:40,00:00:46,0 days 00:37:03,0 days 00:57:29,00:00:28,0 days 00:10:30,,,parthenay,D1F,467.0,158.0,233.0,372.0,98.0,8862.640038967364,8661.016949152543,8951.866846603689,8921.426500434909,8444.444444444445,31.6,11.65,39.2,16.98,2023,,
58.,CLAIRE HOFFBECK,ASPTT STRASBOURG TRI,0 days 01:08:30,0 days 00:20:06,00:00:45,0 days 00:36:39,0 days 00:57:29,00:00:30,0 days 00:10:32,,,parthenay,D1F,471.0,184.0,209.0,372.0,100.0,8854.014598540147,8474.295190713101,9049.567985447931,8921.426500434909,8417.721518987342,36.8,10.45,40.0,17.13,2023,,
59.,LILOU ELLART,GRAVELINES TRIATHLON,0 days 01:08:33,0 days 00:19:47,00:00:42,0 days 00:37:02,0 days 00:57:30,00:00:28,0 days 00:10:36,,,parthenay,D1F,474.0,165.0,232.0,373.0,104.0,8847.556528081692,8609.941027801178,8955.895589558955,8918.840579710144,8364.779874213837,33.0,11.6,41.6,17.24,2023,,
60.,FIONA BROCHARD,MSA TRIATHLON,0 days 01:09:02,0 days 00:19:40,00:00:48,0 days 00:37:04,0 days 00:57:31,00:00:35,0 days 00:10:58,,,parthenay,D1F,503.0,158.0,234.0,374.0,126.0,8785.610816030903,8661.016949152543,8947.841726618704,8916.256157635467,8085.106382978723,31.6,11.7,50.4,18.29,2023,,
61.,JEANNE LAROCHE,MSA TRIATHLON,0 days 01:09:04,0 days 00:20:13,00:00:43,0 days 00:36:36,0 days 00:57:31,00:00:29,0 days 00:11:06,U23,*,parthenay,D1F,505.0,191.0,206.0,374.0,134.0,8781.370656370656,8425.391591096455,9061.930783242258,8916.256157635467,7987.987987987988,38.2,10.3,53.6,18.36,2023,,
62.,ESTELLE COUPIN,ASPTT STRASBOURG TRI,0 days 01:09:23,0 days 00:20:31,00:00:42,0 days 00:36:20,0 days 00:57:32,00:00:28,0 days 00:11:24,U23,,parthenay,D1F,524.0,209.0,190.0,375.0,152.0,8741.292337256786,8302.193338748984,9128.440366972476,8913.673232908459,7777.777777777778,41.8,9.5,60.8,19.05,2023,,
63.,LAURINE CHANDET,STADE FRANCAIS,0 days 01:09:35,0 days 00:19:56,00:00:43,0 days 00:36:51,0 days 00:57:28,00:00:33,0 days 00:11:35,,,parthenay,D1F,536.0,174.0,221.0,371.0,163.0,8716.167664670658,8545.15050167224,9000.452284034374,8924.013921113688,7654.676258992805,34.8,11.05,65.2,19.49,2023,,
64.,LOANNE LE BIHAN,US PALAISEAU TRIATHLON,0 days 01:10:31,0 days 00:20:08,00:00:45,0 days 00:38:38,0 days 00:59:29,00:00:25,0 days 00:10:37,U23,,parthenay,D1F,592.0,186.0,328.0,492.0,105.0,8600.803592531316,8460.264900662252,8584.987057808456,8621.462594564304,8351.648351648351,37.2,16.4,42.0,21.53,2023,,
65.,MARIE PEYTAVI,GRAVELINES TRIATHLON,0 days 01:10:39,0 days 00:20:09,00:00:57,0 days 00:38:24,0 days 00:59:29,00:00:33,0 days 00:10:37,,,parthenay,D1F,600.0,187.0,314.0,492.0,105.0,8584.571832979476,8453.267162944581,8637.152777777777,8621.462594564304,8351.648351648351,37.4,15.7,42.0,21.82,2023,,
66.,MARIE THUILLIER,ASPTT 36 SPORTS NATURE,0 days 01:10:47,0 days 00:21:11,00:00:54,0 days 00:37:24,0 days 00:59:27,00:00:25,0 days 00:10:56,U23,,parthenay,D1F,608.0,249.0,254.0,490.0,124.0,8568.401224393689,8040.912667191188,8868.092691622103,8626.296607793663,8109.756097560976,49.8,12.7,49.6,22.11,2023,,
67.,LOU ANN CHAUSSE,LA GRANDE MOTTE TRIATHLON,0 days 01:10:54,0 days 00:19:46,00:01:08,0 days 00:38:40,0 days 00:59:33,00:00:34,0 days 00:10:48,U23,,parthenay,D1F,615.0,164.0,330.0,496.0,116.0,8554.301833568406,8617.200674536256,8577.58620689655,8611.810803246572,8209.876543209877,32.8,16.5,46.4,22.36,2023,,
68.,NOEMIE AYMARD,H.A.C. TRIATHLON,0 days 01:11:05,0 days 00:20:30,00:00:51,0 days 00:38:08,0 days 00:59:28,00:00:37,0 days 00:11:02,,,parthenay,D1F,626.0,208.0,298.0,491.0,130.0,8532.23915592028,8308.943089430895,8697.552447552447,8623.878923766815,8036.253776435045,41.6,14.9,52.0,22.76,2023,,
69.,LARA ELUAU,EVREUX A.C. TRIATHLON,0 days 01:12:01,0 days 00:19:15,00:00:45,0 days 00:36:54,0 days 00:56:53,00:00:32,0 days 00:14:37,,,parthenay,D1F,682.0,133.0,224.0,336.0,345.0,8421.66165239528,8848.484848484848,8988.25654923216,9015.528860240258,6066.134549600913,26.6,11.2,138.0,24.8,2023,,
70.,RAPHAELLE LUCAS,GRAVELINES TRIATHLON,0 days 01:12:06,0 days 00:20:51,00:00:44,0 days 00:37:51,0 days 00:59:26,00:00:28,0 days 00:12:13,U23,*,parthenay,D1F,687.0,229.0,281.0,489.0,201.0,8411.927877947295,8169.464428457234,8762.659621312197,8628.715647784633,7257.844474761255,45.8,14.05,80.4,24.98,2023,,
